2014,7298,-1,38201,0,1.0
2016,10298,-1,23121,1,1.4
2014,8998,0,32164,0,1.2
2014,6998,-1,61324,0,1.2
2016,10998,-1,16501,0,1.2
2016,13498,0,18344,0,1.4
2016,8698,-1,18111,0,1.0
2017,10498,-1,22778,0,1.2
2016,11998,-1,11628,0,1.0
2016,9498,-1,15115,0,1.2
2016,9298,-1,16609,0,1.0
2017,9698,-1,21136,0,1.0
2017,9998,-1,23500,0,1.2
2014,10998,-1,23331,0,1.4
2017,13998,0,13349,0,1.4
2016,8498,-1,37763,0,1.2
2016,9498,-1,7157,0,1.0
2016,11998,-1,31250,0,1.8
2016,10298,-1,15454,0,1.2
2017,14998,0,20521,0,1.8
2016,8998,-1,26771,0,1.2
2016,9898,-1,11083,0,1.2
2014,4998,-1,65383,0,1.2
2016,11498,-1,29945,0,1.4
2014,7998,-1,27284,0,1.2
2014,7298,-1,44627,0,1.0
2017,10498,-1,18683,0,1.0
2014,8998,-1,55101,0,1.4
2016,9498,-1,20150,0,1.2
2017,9698,-1,21001,0,1.0
2015,8711,-1,33955,0,1.2
2017,10917,-1,13735,0,1.2
2017,9000,-1,22232,0,1.0
2016,9545,-1,20701,0,1.2
2016,8561,-1,31970,0,1.0
2016,12698,0,12494,0,1.4
2017,9498,-1,25181,0,1.0
2017,9798,-1,17512,0,1.0
2017,10495,-1,7650,0,1.2
2016,8495,-1,44000,0,1.2
2017,10495,-1,30422,0,1.2
2017,9698,-1,14721,0,1.0
2015,8650,-1,23723,1,1.4
2016,10498,-1,15803,0,1.2
2016,8995,-1,23336,0,1.2
2018,11995,-1,10100,0,1.0
2019,18995,0,3200,0,2.0
2017,9795,-1,16822,0,1.2
2017,9995,-1,26772,0,1.2
2017,9495,-1,33390,0,1.2
2017,10495,-1,20000,0,1.2
2017,10795,-1,12375,0,1.2
2017,10998,-1,13813,0,1.2
2016,9698,-1,15016,0,1.0
2017,10298,-1,39121,0,1.2
2017,9495,-1,23361,0,1.2
2013,5998,-1,50125,0,1.2
2015,8998,-1,10803,0,1.2
2016,8698,-1,30557,0,1.2
2017,10298,-1,16430,0,1.0
2016,9998,-1,8090,0,1.0
2016,9320,-1,24081,0,1.0
2016,8498,-1,37715,0,1.2
2015,8998,-1,7121,0,1.2
2018,12498,-1,6345,0,1.0
2018,12491,0,21900,0,1.0
2017,11491,-1,15015,0,1.2
2016,10510,-1,34490,0,1.2
2016,8998,-1,11305,0,1.0
2017,9498,-1,25158,0,1.0
2018,10891,-1,12305,0,1.0
2017,11291,-1,9589,0,1.2
2018,10730,-1,4571,0,1.0
2017,11540,-1,17830,0,1.2
2015,9298,-1,19861,0,1.2
2017,9795,-1,28270,0,1.2
2017,10298,-1,10500,0,1.0
2016,8898,-1,13928,0,1.0
2019,12998,-1,14732,1,1.6
2015,6798,-1,52539,0,1.0
2017,11298,-1,15250,1,1.4
2016,8998,-1,18750,0,1.0
2016,10498,-1,9798,0,1.2
2019,11998,-1,2309,0,1.0
2017,9698,-1,17391,0,1.0
2017,9600,-1,31030,0,1.2
2016,9500,-1,32340,0,1.2
2018,13698,-1,17426,0,1.0
2016,8298,-1,28445,0,1.0
2015,6998,-1,45378,0,1.0
2015,8198,-1,23102,0,1.0
2016,9998,-1,22057,0,1.2
2016,8998,-1,33401,0,1.2
2014,7498,-1,27541,0,1.0
2017,9998,-1,28298,0,1.2
2016,8698,-1,31144,0,1.0
2016,9998,-1,24989,0,1.2
2016,9298,-1,21762,0,1.2
2017,11498,-1,1861,0,1.0
2019,12998,-1,16009,1,1.6
2015,6998,-1,40310,0,1.0
2017,8998,-1,17602,0,1.0
2014,7798,-1,32692,0,1.2
2017,10230,-1,4562,0,1.2
2017,11260,0,16887,0,1.2
2016,10298,-1,8812,0,1.2
2014,6950,-1,39589,0,1.0
2016,8489,-1,41123,0,1.0
2017,9389,-1,35354,0,1.0
2016,9989,-1,26298,0,1.2
2017,11489,-1,9310,0,1.2
2017,10989,-1,22442,0,1.2
2020,16489,-1,3800,1,1.6
2018,10498,-1,20990,0,1.0
2016,9698,-1,22037,1,1.4
2017,9450,-1,60000,1,1.4
2018,12489,-1,17137,0,1.0
2016,9489,-1,30181,0,1.0
2016,8989,-1,25619,0,1.0
2019,13489,-1,2800,0,1.0
2018,11989,-1,10100,0,1.0
2016,9589,-1,9476,0,1.0
2019,15489,-1,5848,1,1.6
2017,11289,-1,7591,0,1.2
2017,10489,-1,26115,0,1.2
2020,15989,-1,2800,0,1.0
2017,9689,-1,42163,0,1.2
2015,12489,-1,16851,0,1.4
2016,8989,-1,31955,0,1.2
2016,9489,-1,33581,0,1.2
2018,11989,-1,16991,0,1.0
2014,8489,-1,29433,0,1.2
2017,10989,-1,9200,0,1.0
2015,8989,-1,19672,0,1.2
2016,10489,-1,29581,0,1.2
2013,6850,-1,46013,0,1.2
2014,10489,0,13941,0,1.2
2019,18989,0,2658,0,2.0
2017,10300,-1,15363,0,1.2
2019,19489,0,9053,0,2.0
2015,7795,-1,40500,0,1.2
2019,18989,0,2658,0,2.0
2017,14789,-1,22760,0,1.8
2016,7950,-1,43920,0,1.2
2016,8495,-1,30343,0,1.2
2015,8998,-1,24488,0,1.2
2016,8998,-1,22412,0,1.2
2013,6498,-1,31400,0,1.4
2016,8495,-1,37889,1,1.4
2015,7898,-1,29768,0,1.0
2017,10690,-1,17329,1,1.4
2017,12495,0,23122,0,1.2
2016,13289,-1,37929,0,1.8
2016,8491,-1,24343,0,1.0
2015,8998,-1,13795,0,1.2
2015,7298,-1,30622,0,1.0
2015,8498,-1,27910,0,1.0
2015,7698,-1,41674,0,1.2
2019,12988,-1,8561,0,1.0
2016,9995,-1,7124,0,1.2
2017,9183,-1,30801,0,1.2
2017,9498,-1,33055,0,1.2
2017,9998,-1,30687,1,1.4
2017,9998,-1,16974,0,1.0
2016,9998,-1,18197,0,1.0
2016,7998,-1,49423,0,1.2
2015,7998,-1,27286,0,1.0
2017,9798,-1,24219,0,1.2
2016,10998,-1,42317,0,1.4
2015,8498,-1,31762,0,1.2
2015,6498,-1,45741,0,1.0
2017,9798,-1,15773,0,1.0
2015,9040,-1,20076,0,1.2
2015,8495,-1,14242,0,1.2
2016,8698,-1,20686,0,1.0
2015,8498,-1,35155,0,1.2
2017,10298,-1,21899,0,1.2
2016,8998,-1,28990,0,1.0
2017,10998,-1,11718,0,1.0
2016,8998,-1,21438,0,1.0
2013,4998,-1,68943,0,1.2
2017,14998,0,10727,0,1.4
2013,4995,-1,46350,0,1.2
2016,9498,-1,13620,0,1.0
2017,10298,-1,25383,0,1.2
2017,8998,-1,16701,0,1.0
2017,9798,-1,23492,0,1.2
2017,9998,-1,10283,0,1.0
2017,13498,0,3295,0,1.2
2017,12498,-1,11001,0,1.0
2017,10991,-1,12274,0,1.2
2015,9591,-1,26261,0,1.2
2016,12998,0,23268,0,1.4
2015,6991,-1,33000,0,1.0
2018,13291,-1,20944,0,1.0
2018,12491,-1,12000,0,1.0
2017,10191,-1,35443,0,1.2
2017,12291,0,18262,0,1.2
2016,9991,-1,19000,0,1.0
2016,10391,-1,11067,0,1.0
2017,11391,-1,10793,0,1.2
2017,11491,-1,16789,0,1.2
2016,9991,-1,33297,0,1.2
2017,10991,-1,13515,0,1.2
2016,12391,-1,18138,0,1.4
2019,14991,-1,2000,1,1.6
